case,method,variant,seed,evaluation,best_value
random_seed1,random,random,1,1,9498.857021617363
random_seed1,random,random,1,2,0.3298122729593599
random_seed1,random,random,1,3,0.3298122729593599
random_seed1,random,random,1,4,0.3298122729593599
random_seed1,random,random,1,5,0.3298122729593599
random_seed1,random,random,1,6,0.3298122729593599
random_seed1,random,random,1,7,0.3298122729593599
random_seed1,random,random,1,8,0.3298122729593599
random_seed1,random,random,1,9,0.3298122729593599
random_seed1,random,random,1,10,0.3298122729593599
random_seed1,random,random,1,11,0.3298122729593599
random_seed1,random,random,1,12,0.3298122729593599
random_seed1,random,random,1,13,0.3298122729593599
random_seed1,random,random,1,14,0.3298122729593599
random_seed1,random,random,1,15,0.3298122729593599
random_seed1,random,random,1,16,0.3298122729593599
random_seed1,random,random,1,17,0.07969787888025484
random_seed1,random,random,1,18,0.07969787888025484
random_seed1,random,random,1,19,0.07969787888025484
random_seed1,random,random,1,20,0.019765644709737486
random_seed1,random,random,1,21,0.019765644709737486
random_seed1,random,random,1,22,0.019765644709737486
random_seed1,random,random,1,23,0.019765644709737486
random_seed1,random,random,1,24,0.019765644709737486
random_seed1,random,random,1,25,0.019765644709737486
random_seed1,random,random,1,26,0.019765644709737486
random_seed1,random,random,1,27,0.019765644709737486
random_seed1,random,random,1,28,0.019765644709737486
random_seed1,random,random,1,29,0.019765644709737486
random_seed1,random,random,1,30,0.019765644709737486
random_seed1,random,random,1,31,0.019765644709737486
random_seed1,random,random,1,32,0.019765644709737486
random_seed1,random,random,1,33,0.019765644709737486
random_seed1,random,random,1,34,0.019765644709737486
random_seed1,random,random,1,35,0.019765644709737486
random_seed1,random,random,1,36,0.019765644709737486
random_seed1,random,random,1,37,0.019765644709737486
random_seed1,random,random,1,38,0.019765644709737486
random_seed1,random,random,1,39,0.019765644709737486
random_seed1,random,random,1,40,0.019765644709737486
random_seed1,random,random,1,41,0.019765644709737486
random_seed1,random,random,1,42,0.019765644709737486
random_seed1,random,random,1,43,0.019765644709737486
random_seed1,random,random,1,44,0.019765644709737486
random_seed1,random,random,1,45,0.019765644709737486
random_seed1,random,random,1,46,0.019765644709737486
random_seed1,random,random,1,47,0.019765644709737486
random_seed1,random,random,1,48,0.019765644709737486
random_seed1,random,random,1,49,0.019765644709737486
random_seed1,random,random,1,50,0.019765644709737486
random_seed1,random,random,1,51,0.019765644709737486
random_seed1,random,random,1,52,0.019765644709737486
random_seed1,random,random,1,53,0.019765644709737486
random_seed1,random,random,1,54,0.019765644709737486
random_seed1,random,random,1,55,0.019765644709737486
random_seed1,random,random,1,56,0.019765644709737486
random_seed1,random,random,1,57,0.019765644709737486
random_seed1,random,random,1,58,0.019765644709737486
random_seed1,random,random,1,59,0.019765644709737486
random_seed1,random,random,1,60,0.019765644709737486
random_seed1,random,random,1,61,0.019765644709737486
random_seed1,random,random,1,62,0.019765644709737486
random_seed1,random,random,1,63,0.019765644709737486
random_seed1,random,random,1,64,0.019765644709737486
random_seed1,random,random,1,65,0.019765644709737486
random_seed1,random,random,1,66,0.019765644709737486
random_seed1,random,random,1,67,0.019765644709737486
random_seed1,random,random,1,68,0.019765644709737486
random_seed1,random,random,1,69,0.019765644709737486
random_seed1,random,random,1,70,0.019765644709737486
random_seed1,random,random,1,71,0.019765644709737486
random_seed1,random,random,1,72,0.019765644709737486
random_seed1,random,random,1,73,0.019765644709737486
random_seed1,random,random,1,74,0.019765644709737486
random_seed1,random,random,1,75,0.019765644709737486
random_seed1,random,random,1,76,0.019765644709737486
random_seed1,random,random,1,77,0.019765644709737486
random_seed1,random,random,1,78,0.019765644709737486
random_seed1,random,random,1,79,0.019765644709737486
random_seed1,random,random,1,80,0.019765644709737486
random_seed1,random,random,1,81,0.019765644709737486
random_seed1,random,random,1,82,0.019765644709737486
random_seed1,random,random,1,83,0.019765644709737486
random_seed1,random,random,1,84,0.019765644709737486
random_seed1,random,random,1,85,0.019765644709737486
random_seed1,random,random,1,86,0.019765644709737486
random_seed1,random,random,1,87,0.019765644709737486
random_seed1,random,random,1,88,0.019765644709737486
random_seed1,random,random,1,89,0.019765644709737486
random_seed1,random,random,1,90,0.019765644709737486
random_seed1,random,random,1,91,0.019765644709737486
random_seed1,random,random,1,92,0.019765644709737486
random_seed1,random,random,1,93,0.019765644709737486
random_seed1,random,random,1,94,0.019765644709737486
random_seed1,random,random,1,95,0.019765644709737486
random_seed1,random,random,1,96,0.019765644709737486
random_seed1,random,random,1,97,0.019765644709737486
random_seed1,random,random,1,98,0.019765644709737486
random_seed1,random,random,1,99,0.019765644709737486
random_seed1,random,random,1,100,0.019765644709737486
random_seed1,random,random,1,101,0.019765644709737486
random_seed1,random,random,1,102,0.019765644709737486
random_seed1,random,random,1,103,0.019765644709737486
random_seed1,random,random,1,104,0.019765644709737486
random_seed1,random,random,1,105,0.019765644709737486
random_seed1,random,random,1,106,0.019765644709737486
random_seed1,random,random,1,107,0.019765644709737486
random_seed1,random,random,1,108,0.019765644709737486
random_seed1,random,random,1,109,0.019765644709737486
random_seed1,random,random,1,110,0.019765644709737486
random_seed1,random,random,1,111,0.019765644709737486
random_seed1,random,random,1,112,0.019765644709737486
random_seed1,random,random,1,113,0.019765644709737486
random_seed1,random,random,1,114,0.019765644709737486
random_seed1,random,random,1,115,0.019765644709737486
random_seed1,random,random,1,116,0.019765644709737486
random_seed1,random,random,1,117,0.019765644709737486
random_seed1,random,random,1,118,0.019765644709737486
random_seed1,random,random,1,119,0.019765644709737486
random_seed1,random,random,1,120,0.019765644709737486
random_seed1,random,random,1,121,0.019765644709737486
random_seed1,random,random,1,122,0.019765644709737486
random_seed1,random,random,1,123,0.019765644709737486
random_seed1,random,random,1,124,0.019765644709737486
random_seed1,random,random,1,125,0.019765644709737486
random_seed1,random,random,1,126,0.019765644709737486
random_seed1,random,random,1,127,0.019765644709737486
random_seed1,random,random,1,128,0.019765644709737486
random_seed1,random,random,1,129,0.019765644709737486
